SMILES,molaff,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MinPartialCharge,PEOE_VSA2,NumRotatableBonds
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)Oc(cc2)cc(c23)occ(c3=O)-c4ccc(O)cc4,-4.6436,13.71325714,0.842385627,0.405747634,-0.507966245,4.794537184,9
Oc1cc(O)cc(c12)occ(c2=O)-c3ccc(O)cc3,-4.8471,13.15994103,0.629058537,0.631832936,-0.507966245,4.794537184,4
[O-]C(=O)/C=C/c1c(O)cc(cc1)OC,-4.3661,10.63120085,0.80361867,0.694212841,-0.545466953,0,5
[O-]C(=O)C(=O)CC(C)C,-3.729,11.04752315,2.39837963,0.475688576,-0.541709093,4.794537184,5
CC(=O)Nc1c(=O)n(C)c(c12)css2,-5.6599,12.25460176,0.06599537,0.753185815,-0.320462081,9.589074368,3
CSCC[C@H](NC1=O)C(=O)N([C@H]12)CCC2,-4.6913,13.1146849,0.6306661,0.751996241,-0.342474863,9.589074368,4
c1ccccc1C[C@@H](NC2=O)C(=O)N([C@H]23)CCC3,-5.126,13.39843238,0.575880574,0.833007238,-0.34218016,9.589074368,2
OCc1ccc(O)cc1,-5.2653,7.478449074,0.6069161,0.583159516,-0.507966621,0,3
[O-]C(=O)c(c1)[nH]c(c12)cccc2,-4.6474,10.81654195,0.296111111,0.661148744,-0.543203782,0,1
[O-]C(=O)c1c(C([O-])=O)nccc1,-5.1525,10.50377929,0.778518519,0.495720626,-0.544730499,4.983978521,2
C=C1NCCc(c12)cc(OC)c(c2)OC,-4.1289,8.247824074,0.161156817,0.798505186,-0.492858798,0,4
OCCc1c[nH]c(c12)cccc2,-4.3507,7.874832766,0.305928288,0.690602369,-0.396029925,0,3
[O-]C(=O)c1c[nH]c(c12)cccc2,-4.6031,10.92839286,0.342407407,0.661148744,-0.5447325,0,1
CC(=O)N1CCC[C@H]1C([O-])=O,-4.4567,11.75708333,0.747685185,0.476145031,-0.547889644,4.794537184,2
CC(=O)c1c(O)ccc(c1)OC,-2.7509,11.86154289,0.911604781,0.678616653,-0.507193936,4.794537184,5
CC(C)([C@@H]12)[C@H](C1)C(=O)C=C2C,-4.922,12.5024537,1.398842593,0.516955953,-0.294526413,4.794537184,3
C=C[C@H]([C@H]12)C[N@H+](CC2)[C@@H](C1)[C@H](O)c3ccnc(c34)ccc(c4)OC,-2.2021,9.468682681,1.032004881,0.842242673,-0.49674294,4.983978521,6
S=C=NCC(C)C,-4.0785,7.449537037,1.571180556,0.394239957,-0.232268838,0,4
CC(=O)CCc1ccc(O)cc1,-5.3359,11.77347868,0.812723017,0.740531147,-0.507966645,0,5
c1c(O)ccc(c12)C(=O)c3c(C2=O)ccc(c3)O,-6.4888,12.82301493,0.625128496,0.628686275,-0.507941037,9.589074368,2
[O-]C(=O)CCCc1c[nH]c(c12)cccc2,-3.8984,11.01551744,0.157756519,0.810510071,-0.550171661,0,4
S=C=N[C@@H](C)CC,-2.7418,7.437013889,1.563888889,0.39518779,-0.229459537,0,4
C1C(=O)Nc(c12)cccc2,-5.2875,11.48515117,0.187685185,0.565348897,-0.325533786,4.794537184,0
[O-]C(=O)/C=C/c(c1)ccc(c12)OCO2,-4.9339,10.59667698,0.480064248,0.625417731,-0.545466972,0,2
[O-]C(=O)/C=C/c1ccc(C)cc1,-4.3046,10.5500296,0.757222222,0.600554966,-0.545466972,0,3
CC(=O)c1cc(O)c(O)cc1,-3.2943,11.63756897,0.701766818,0.470699427,-0.504259609,4.794537184,4
[O-]C(=O)/C=C/c1ccc(cc1)N(C)C,-4.5578,10.6949439,0.237878559,0.65235805,-0.545466972,0,5
NC(=O)c1ccc(O)cc1,-5.2807,11.34675265,0.341746504,0.591271221,-0.507966196,4.794537184,2
[NH3+]CCc1cc(OC)c(O)cc1,-5.2726,7.909421296,0.972583617,0.676326122,-0.504254604,0,6
Cc1cc([O-])cc(=O)o1,-3.7507,10.97185185,0.963333333,0.490837772,-0.87220155,0,1
[O-]C(=O)Cc1ccc(O)cc1,-5.3354,10.65948468,0.705650038,0.629976164,-0.549806217,0,3
[O-]C(=O)[C@H]([NH3+])CC[S@](=O)C,-3.9798,11.57552768,2.806558485,0.485169403,-0.543896931,4.208898492,6
S=C=[NH+]Cc1ccc(cc1)OC,-4.8927,7.73927107,0.038606505,0.536634931,-0.49676815,0,4
[O-]C(=O)CCc1ccc(cc1)OC,-4.1024,10.84667657,0.987443311,0.670879459,-0.550159506,0,5
Cc1cc(O)cc(c1)O,-5.8838,7.493865741,0.657986111,0.548523553,-0.507812898,0,3
[O-]C(=O)/C=C/C=C/c1ccccc1,-3.511,10.48855504,0.646390779,0.505137526,-0.54546734,0,3
[O-]C(=O)/C=C/c(cc1)ccc1C(F)(F)F,-3.6722,12.682441,1.007222222,0.700600024,-0.545466972,0,2
C[C@@H]1[NH2+]CCc(c12)cc(O)c(c2)OC,-5.1597,8.422536376,1.127404573,0.686695609,-0.504247711,0,4
CCC(=O)c1cc(OC)c(cc1)OC,-3.9878,12.41489241,1.155444539,0.689727965,-0.492869529,4.794537184,7
c1ccc(=O)n(c12)C[C@@H]3C[C@H]2C[NH2+]C3,-5.2259,12.61133267,0.202523148,0.591290824,-0.345410486,4.794537184,0
CCCCCCCCCCCC1=C([O-])C(=O)C=C(C1=O)O,-0.2877,12.64906128,1.590541123,0.495658909,-0.869560139,9.589074368,12
Oc1cc(C)cc(c12)C(=O)c3c(C2=O)c(O)cc(c3)O,-4.4681,13.15273432,0.752746599,0.57949523,-0.507797319,9.589074368,4
Oc1cc(OC)c(OC)c(O)c1C(=O)/C=C/c2ccccc2,-3.8852,13.26813961,0.820054506,0.655484987,-0.506888498,4.794537184,9
c1ccccc1\C=C\C(=O)c2c(O)c(OC)c(O)cc2OC,-4.8376,13.36208743,0.829676156,0.655484987,-0.504063158,4.794537184,9
c1ccccc1CCC(=O)c2c(O)c(OC)c(O)cc2OC,-4.0922,13.63942539,0.962055219,0.802374309,-0.50406316,4.794537184,10
Oc1cc(OC)cc(O)c1C(=O)CCc2ccccc2,-3.986,13.29271396,0.908552184,0.821199877,-0.506907147,4.794537184,8
Oc1cc(OC)cc(c12)O[C@@H](CC2=O)c3ccc(O)cc3,-5.5265,13.19567693,0.853026244,0.88743439,-0.507966607,4.794537184,5
Oc1cc(OC)cc(c12)oc(c(c2=O)O)-c3ccc(O)cc3,-4.6942,13.09208896,0.710155935,0.672310813,-0.507966213,4.794537184,6
COc(cc1)ccc1-c(c(c2=O)OC)oc(c23)cc(O)cc3O,-3.6274,13.36317458,0.835119336,0.772459795,-0.507678166,4.794537184,7
Oc1cc(OC)cc(c12)oc(c(c2=O)O)-c3ccc(cc3)OC,-5.0002,13.17917574,0.810070901,0.772459795,-0.506890475,4.794537184,7
COc(cc1)ccc1-c(c(c2=O)O)oc(c23)cc(O)cc3O,-4.7143,13.04650792,0.713508721,0.672310813,-0.507678166,4.794537184,6
c1cccc(c1c23)n4c2c(ccc4=O)[nH+]cc3,-5.2637,12.62215608,0.110092593,0.446126728,-0.269862968,9.19523179,0
